// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Cash/Vip
//    2: Trocas Kg,Elemento,Treinos
//    3: Hats
//    4: 
//    5: 
//    6: 
//    7: 
//    8: 
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

//- Consumiveis
0,2000,90000
0,782,500
0,1308,500
0,1309,500
0,1310,500
0,1311,500
0,1312,500
0,1313,500
0,1315,500
0,1317,500
0,1319,500
0,7000,100
0,7001,1000
0,7002,4000
0,7003,7000
0,7004,12000

//- Trocas
1,7008,6000
1,7009,6000
1,7010,10000
1,7006,8500
1,7013,15000
1,7011,600
1,7012,600
1,7019,10000
1,7005,10000

//- Topo
2,31148,25000
2,5245,40000
2,5272,40000
2,5271,30000
2,5273,30000
2,5101,30000
2,5001,30000
2,5004,25000
2,5020,25000
2,5256,25000
2,5237,30000
2,5234,35000


//- Meio
3,5228,45000
3,5263,30000
3,5239,30000
3,31142,40000
3,31139,40000
3,31134,40000
3,31135,40000
3,31126,40000


//- Baixo
4,31132,35000
4,31128,35000
4,31101,35000
4,31104,40000
4,5277,45000


